split,id,sel_err_px,final_err_px,shift_total_px,shift_pose_refine_px,shift_subpixel_px,shift_drift_px,shear_px,predrift_err_px,lost_by_refinement
bench,8,0.3051,0.0366,0.2903,0.0000,0.3036,0.1030,1.0315,0.0709,0
bench,9,1.2273,2.1867,1.0020,0.0000,0.1655,1.0607,-1.5613,1.1306,0
bench,10,0.5567,0.4380,0.9381,0.0000,0.2844,0.9454,2.4900,0.5100,0
bench,11,0.8292,0.2837,0.5462,0.0000,0.3669,0.1851,0.8122,0.4680,0
bench,12,0.8609,0.5947,0.3892,0.0000,0.3590,0.2502,0.4907,0.8444,0
bench,13,627.9535,628.2366,0.9751,0.0000,0.0000,0.9751,2.8441,627.9535,0
bench,14,0.6884,0.1185,0.5704,0.0000,0.1769,0.4276,1.3493,0.5456,0
bench,15,0.6319,0.1800,0.4700,0.0000,0.1712,0.6396,1.2430,0.7969,0
bench,16,1.1155,0.8422,1.9309,0.0000,0.2508,2.0171,2.4979,1.1786,0
bench,17,66.8231,66.8910,0.3282,0.0000,0.0000,0.3282,0.7779,66.8231,0
bench,18,0.6003,0.0988,0.5188,0.0000,0.3214,0.4383,1.6118,0.5371,0
bench,19,54.7292,56.2112,1.4824,0.0000,0.0000,1.4824,1.5713,54.7292,0
bench,20,1.0699,0.3700,0.7023,0.0000,0.2343,0.8288,0.9936,1.1970,0
bench,21,1.0689,6.5388,7.5733,0.0000,0.2460,7.4601,14.7513,0.9235,1
bench,22,0.2904,0.0969,0.1958,0.0000,0.0922,0.1229,0.9439,0.2090,0
bench,23,1.4624,0.3168,1.7589,0.0000,0.2484,1.5887,1.9209,1.2812,0
bench,24,1.8271,0.2452,1.6735,0.0000,0.0000,1.6735,1.7542,1.8271,0
bench,25,0.5272,0.1876,0.3433,0.0000,0.1703,0.3082,1.3975,0.4621,0
bench,26,1.0044,0.1411,1.1451,0.0000,0.2184,1.3536,1.6765,1.2125,0
bench,27,1.0425,0.1153,0.9502,0.0000,0.1334,0.8197,1.7350,0.9144,0
bench,28,0.9186,0.4834,0.5062,0.0000,0.0000,0.5062,0.9828,0.9186,0
bench,29,1.4287,0.9826,2.4068,0.0000,0.3195,2.1043,2.9898,1.1224,0
finfet,0,1.3063,1.6902,2.9963,0.0000,0.3421,2.6649,4.5360,0.9757,0
finfet,1,0.4228,0.5769,0.1777,0.0000,0.2404,0.0667,0.1612,0.6436,0
finfet,2,0.6527,0.3145,0.3388,0.0000,0.1562,0.2168,0.7018,0.5264,0
finfet,3,0.7627,0.1215,0.6493,0.0000,0.1769,0.5081,1.6500,0.6131,0
finfet,4,0.8953,0.1731,0.7449,0.0000,0.1342,0.6225,1.2279,0.7671,0
finfet,5,0.7106,0.0335,0.7360,0.0000,0.3672,0.4828,1.4235,0.4699,0
finfet,6,0.2644,0.2268,0.0384,0.0000,0.0608,0.0970,0.4233,0.3238,0
finfet,7,0.3388,0.0553,0.2872,0.0000,0.1304,0.3353,1.3234,0.3761,0
finfet,8,1.0938,0.1228,1.1139,0.0000,0.2915,0.9707,1.8875,0.9223,0
finfet,9,1.3064,3.6321,2.3727,0.0000,0.0000,2.3727,-2.5070,1.3064,0
finfet,10,0.5474,0.3102,0.2661,0.0000,0.2360,0.3262,0.6456,0.6345,0
finfet,11,0.7150,0.1964,0.8690,0.0000,0.2766,0.8860,1.7519,0.6993,0
